model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
logistic_saga,outer_fold,0,0,0.029501785477873778,0.032
logistic_saga,outer_fold,0,1,0.04809306793646486,0.034666666666666665
logistic_saga,outer_fold,0,2,0.05868874046695525,0.05633333333333333
logistic_saga,outer_fold,0,3,0.06838857661957494,0.08533333333333333
logistic_saga,outer_fold,0,4,0.07862871103491761,0.08566666666666667
logistic_saga,outer_fold,0,5,0.08996672308703235,0.09166666666666666
logistic_saga,outer_fold,0,6,0.10574758389204379,0.09466666666666666
logistic_saga,outer_fold,0,7,0.12053899379863844,0.15566666666666668
logistic_saga,outer_fold,0,8,0.1458980106840236,0.15133333333333332
logistic_saga,outer_fold,0,9,0.20782123832309168,0.222
logistic_saga,overall,overall,0,0.029501785477873816,0.032
logistic_saga,overall,overall,1,0.048093067936464944,0.034666666666666665
logistic_saga,overall,overall,2,0.05868874046695519,0.05633333333333333
logistic_saga,overall,overall,3,0.06838857661957494,0.08533333333333333
logistic_saga,overall,overall,4,0.07862871103491763,0.08566666666666667
logistic_saga,overall,overall,5,0.0899667230870324,0.09166666666666666
logistic_saga,overall,overall,6,0.10574758389204379,0.09466666666666666
logistic_saga,overall,overall,7,0.1205389937986384,0.15566666666666668
logistic_saga,overall,overall,8,0.14589801068402353,0.15133333333333332
logistic_saga,overall,overall,9,0.2078212383230914,0.222
